CLI_ID,UNIVERS,MOIS_VENTE,FAMILLE,MAILLE,"('PRIX_NET', 'min')","('PRIX_NET', 'max')","('PRIX_NET', 'mean')"
991496790,CORPS_SOIN DES MAINS,12,SOINS DU CORPS,CORPS_HYDRA_NOURRI_ET_SOINS,1.85,29.0,6.943333333333334
991496807,VIS_LOTIONS Jeunes Specifique,4,SOINS DU VISAGE,VIS_JEUNE_ET_LEVRE,1.66,8.9,3.375
991496815,HYG_DOUCHE JARDINMONDE,7,HYGIENE,HYG_JDM,1.5,21.9,5.072222222222222
991496823,VIS_MASQUE Jeunes Specifique,8,SOINS DU VISAGE,VIS_JEUNE_ET_LEVRE,3.95,3.95,3.95
991496857,MAQ_YEUX Fard,7,MAQUILLAGE,MAQ_YEUX_MASCA_EYEL_FARD,2.0,11.45,5.4799999999999995
991496865,MAQ_LEV AUTRES,12,MAQUILLAGE,MAQ_LEV_RAL_HMG,1.65,12.5,4.14
991496899,PARF_EAUX HOMMES,1,PARFUMAGE,PARF_HOMME,2.95,12.5,7.975
991496922,VIS_DEMAQ Jeunes Specifique,3,SOINS DU VISAGE,VIS_JEUNE_ET_LEVRE,0.5,6.9,3.6666666666666665
991496930,VIS_SOIN LEVRES,11,SOINS DU VISAGE,VIS_JEUNE_ET_LEVRE,1.9,4.9,2.4388888888888887
991496964,MAQ_ONG AUTRES,12,MAQUILLAGE,MAQ_ONGLES,1.5,26.0,4.878571428571428
991497005,MAQ_LEV RAL Brillance,6,MAQUILLAGE,MAQ_LEV_RAL_HMG,1.25,9.95,5.259090909090909
991497021,MAQ_TEINT Font teint,10,MAQUILLAGE,MAQ_TEINT,1.5,9.95,3.4
991497097,MAQ_YEUX Mascara SexyPulp,6,MAQUILLAGE,MAQ_YEUX_MASCA_EYEL_FARD,8.95,8.95,8.95
991497104,MAQ_ONG Vernis LUM,5,MAQUILLAGE,MAQ_ONGLES,3.9,3.9,3.9
