id,couleur_secondaire
tt0084058,2
tt0084867,2
tt0085121,3
tt0085154,2
tt0085159,2
tt0085208,2
tt0085236,0
tt0085244,3
tt0085248,2
tt0085255,2
tt0085271,2
tt0085276,3
tt0085318,3
tt0085320,1
tt0085333,2
tt0085334,2
tt0085346,5
tt0085382,3
tt0085384,3
tt0085387,3
tt0085398,3
tt0085407,0
tt0085412,2
tt0085450,2
tt0085461,5
tt0085470,2
tt0085473,5
tt0085475,3
tt0085478,0
tt0085542,0
tt0085549,0
tt0085551,4
tt0085588,3
tt0085608,5
tt0085615,2
tt0085656,2
tt0085678,5
tt0085694,2
tt0085701,0
tt0085750,2
tt0085764,3
tt0085780,0
tt0085811,0
tt0085838,5
tt0085859,7
tt0085862,5
tt0085863,3
tt0085867,2
tt0085868,0
tt0085873,5
tt0085891,5
tt0085895,5
tt0085919,2
tt0085933,2
tt0085935,0
tt0085970,2
tt0085980,5
tt0085995,2
tt0086005,5
tt0086006,2
tt0086011,5
tt0086014,0
tt0086034,1
tt0086036,0
tt0086058,3
tt0086066,2
tt0086112,5
tt0086129,5
tt0086143,2
tt0086154,0
tt0086192,3
tt0086197,2
tt0086200,2
tt0086205,5
tt0086216,2
tt0086220,3
tt0086264,3
tt0086312,3
tt0086325,5
tt0086336,5
tt0086346,2
tt0086352,2
tt0086355,2
tt0086356,0
tt0086361,2
tt0086370,5
tt0086373,5
tt0086374,3
tt0086377,0
tt0086379,5
tt0086381,5
tt0086383,0
tt0086393,2
tt0086397,5
tt0086405,3
tt0086423,0
tt0086425,0
tt0086429,3
tt0086461,2
tt0086465,2
tt0086476,0
tt0086491,2
tt0086494,2
tt0086508,5
tt0086510,3
tt0086525,3
tt0086541,2
tt0086567,2
tt0086582,0
tt0086593,2
tt0086618,3
tt0086619,5
tt0086637,2
tt0086837,2
tt0086856,1
tt0086859,5
tt0086873,3
tt0086876,0
tt0086877,0
tt0086879,2
tt0086886,3
tt0086896,1
tt0086927,5
tt0086946,7
tt0086955,5
tt0086960,5
tt0086969,0
tt0086984,2
tt0086985,3
tt0086987,2
tt0086992,2
tt0086993,5
tt0086998,3
tt0086999,2
tt0087003,5
tt0087004,3
tt0087015,0
tt0087032,5
tt0087050,0
tt0087054,0
tt0087062,2
tt0087072,3
tt0087078,5
tt0087089,0
tt0087091,5
tt0087096,2
tt0087127,2
tt0087130,2
tt0087175,2
tt0087182,2
tt0087197,2
tt0087222,5
tt0087231,3
tt0087233,2
tt0087260,2
tt0087262,3
tt0087263,0
tt0087265,2
tt0087277,0
tt0087313,5
tt0087332,0
tt0087359,0
tt0087363,5
tt0087365,0
tt0087384,2
tt0087385,5
tt0087425,2
tt0087428,5
tt0087451,3
tt0087452,0
tt0087464,2
tt0087469,1
tt0087482,3
tt0087507,2
tt0087513,2
tt0087525,3
tt0087538,3
tt0087553,0
tt0087589,5
tt0087597,0
tt0087629,3
tt0087635,3
tt0087666,2
tt0087688,0
tt0087722,2
tt0087727,0
tt0087730,3
tt0087746,1
tt0087747,0
tt0087751,0
tt0087755,2
tt0087781,3
tt0087799,3
tt0087800,0
tt0087810,2
tt0087835,1
tt0087843,2
tt0087866,3
tt0087884,5
tt0087892,0
tt0087910,0
tt0087921,5
tt0087928,1
tt0087932,2
tt0087951,2
tt0087956,0
tt0087957,0
tt0087968,4
tt0087980,2
tt0087981,2
tt0087983,3
tt0087995,3
tt0088000,1
tt0088001,4
tt0088006,2
tt0088007,0
tt0088011,5
tt0088024,0
tt0088046,3
tt0088103,5
tt0088117,0
tt0088128,1
tt0088146,3
tt0088153,2
tt0088161,2
tt0088170,2
tt0088172,0
tt0088176,0
tt0088178,0
tt0088184,0
tt0088194,2
tt0088206,5
tt0088213,3
tt0088224,3
tt0088242,3
tt0088247,2
tt0088249,0
tt0088256,0
tt0088258,3
tt0088272,5
tt0088286,2
tt0088318,2
tt0088322,0
tt0088323,3
tt0088330,3
tt0088333,3
tt0088379,0
tt0088385,2
tt0088402,5
tt0088414,5
tt0088680,0
tt0088683,2
tt0088707,1
tt0088708,2
tt0088757,0
tt0088760,2
tt0088763,0
tt0088765,2
tt0088794,5
tt0088814,7
tt0088846,2
tt0088847,3
tt0088850,5
tt0088851,3
tt0088855,0
tt0088885,2
tt0088889,2
tt0088895,5
tt0088915,0
tt0088930,0
tt0088933,2
tt0088936,0
tt0088939,2
tt0088944,0
tt0088947,0
tt0088960,5
tt0088979,1
tt0088987,2
tt0088993,2
tt0089003,0
tt0089017,5
tt0089034,0
tt0089052,2
tt0089079,2
tt0089087,3
tt0089092,2
tt0089114,0
tt0089118,0
tt0089126,2
tt0089129,5
tt0089155,5
tt0089160,5
tt0089167,2
tt0089175,1
tt0089208,2
tt0089218,3
tt0089221,0
tt0089222,0
tt0089243,2
tt0089264,2
tt0089265,2
tt0089272,3
tt0089276,2
tt0089283,5
tt0089304,2
tt0089346,3
tt0089348,3
tt0089360,3
tt0089370,5
tt0089383,0
tt0089385,2
tt0089393,5
tt0089420,3
tt0089421,2
tt0089424,2
tt0089444,3
tt0089457,2
tt0089461,0
tt0089470,3
tt0089489,0
tt0089504,3
tt0089523,0
tt0089530,5
tt0089543,2
tt0089555,3
tt0089560,4
tt0089569,3
tt0089572,5
tt0089601,2
tt0089603,5
tt0089622,2
tt0089629,1
tt0089643,2
tt0089652,3
tt0089670,2
tt0089679,0
tt0089686,5
tt0089695,0
tt0089716,2
tt0089730,0
tt0089731,2
tt0089748,0
tt0089755,5
tt0089767,3
tt0089791,1
tt0089798,3
tt0089822,2
tt0089839,5
tt0089841,5
tt0089853,0
tt0089869,3
tt0089877,1
tt0089880,0
tt0089881,3
tt0089883,0
tt0089885,3
tt0089886,0
tt0089893,3
tt0089901,0
tt0089907,3
tt0089913,2
tt0089927,3
tt0089941,3
tt0089981,3
tt0090021,2
tt0090022,5
tt0090036,5
tt0090037,3
tt0090056,2
tt0090060,2
tt0090065,2
tt0090073,0
tt0090092,5
tt0090095,2
tt0090098,2
tt0090103,2
tt0090110,2
tt0090112,5
tt0090130,5
tt0090142,5
tt0090151,5
tt0090152,1
tt0090180,0
tt0090184,7
tt0090196,3
tt0090203,3
tt0090209,0
tt0090213,3
tt0090217,5
tt0090223,2
tt0090264,7
tt0090270,0
tt0090274,5
tt0090293,2
tt0090305,3
tt0090310,5
tt0090319,5
tt0090323,0
tt0090327,2
tt0090329,0
tt0090350,3
tt0090357,3
tt0090555,2
tt0090557,2
tt0090559,2
tt0090563,2
tt0090567,1
tt0090568,2
tt0090570,3
tt0090576,3
tt0090583,5
tt0090585,2
tt0090605,0
tt0090631,2
tt0090633,3
tt0090655,4
tt0090660,2
tt0090670,3
tt0090678,3
tt0090685,0
tt0090693,2
tt0090710,5
tt0090713,3
tt0090728,0
tt0090735,2
tt0090738,0
tt0090753,2
tt0090756,0
tt0090768,3
tt0090769,2
tt0090774,3
tt0090779,3
tt0090830,0
tt0090848,3
tt0090852,0
tt0090856,2
tt0090859,0
tt0090863,5
tt0090886,2
tt0090887,2
tt0090904,0
tt0090917,3
tt0090927,3
tt0090934,3
tt0090966,2
tt0090967,3
tt0090970,0
tt0090985,2
tt0091003,3
tt0091019,0
tt0091024,0
tt0091042,5
tt0091051,5
tt0091053,7
tt0091055,0
tt0091059,5
tt0091064,2
tt0091080,3
tt0091083,3
tt0091113,0
tt0091123,5
tt0091129,2
tt0091149,2
tt0091159,3
tt0091164,0
tt0091167,5
tt0091173,5
tt0091178,3
tt0091187,0
tt0091188,3
tt0091203,2
tt0091209,0
tt0091213,2
tt0091217,2
tt0091223,2
tt0091225,0
tt0091276,0
tt0091278,3
tt0091282,2
tt0091295,3
tt0091306,7
tt0091310,2
tt0091313,0
tt0091326,2
tt0091343,0
tt0091344,0
tt0091369,0
tt0091374,5
tt0091396,0
tt0091400,3
tt0091415,2
tt0091419,0
tt0091445,3
tt0091472,0
tt0091474,2
tt0091499,0
tt0091508,1
tt0091530,0
tt0091534,3
tt0091538,1
tt0091541,3
tt0091554,3
tt0091557,0
tt0091575,0
tt0091579,3
