Titre de l'image,Sujets,0,1,2,3,4,5,6,7,8
tt1786751.jpg,[],,,,,,,,,
tt1762399.jpg,[],,,,,,,,,
tt2094890.jpg,"['film', 'ai', 'ate']",movie,Army_Intelligence,Ate,,,,,,
tt2042568.jpg,[],,,,,,,,,
tt2215477.jpg,"['bene', 'let', 'lyin', '©', 'epee', 'ata']",Lashkar-e-Taiba,epee,,,,,,,
tt2313774.jpg,[],,,,,,,,,
tt1538403.jpg,['youseave'],chosen,,,,,,,,
tt0790636.jpg,"['“', 'buyers']",buyer,,,,,,,,
tt3504226.jpg,"['ss', 'weekend']",United_States_Secret_Service,weekend,,,,,,,
tt2304426.jpg,['giant'],selfish,giant,,,,,,,
tt2673854.jpg,"['takeover', 'takeover', 'ih']","""coup_detat""",lupus_erythematosus,two,,,,,,
tt1951216.jpg,[],,,,,,,,,
tt2051879.jpg,[],,,,,,,,,
tt1411250.jpg,"['diesel', 'riddick', 'rule', 'dark']",Diesel,rule,dark,,,,,,
tt2388637.jpg,"['case', 'rooney', 'mara', 'ben', 'foster']",case,Mara,ben,Foster,,,,,
tt2023587.jpg,"['deltoro', 'criator', 'pans', 'aworvanstoveissonven']",show,pan,maze,einsteinium,,,,,
tt2650054.jpg,[],,,,,,,,,
tt1171222.jpg,[],,,,,,,,,
tt0816711.jpg,[],,,,,,,,,
tt1904996.jpg,"['jason', 'statham', '_', 'jennifer', 'lopez', 'wm', 'sawuany25']",Jason,get,away,clean_and_jerk,play,,,,
tt1727388.jpg,"['ido', 'sada', 'ba']",Ido,barium,,,,,,,
tt2158531.jpg,"['ae', 'shel', 'fe', 'ee', 'fin', 'ol', 'es', 'ae']",iron,electrical_engineering,five,einsteinium,,,,,
tt2901548.jpg,[],,,,,,,,,
tt0359950.jpg,[],,,,,,,,,
tt2644800.jpg,[],,,,,,,,,
tt2275802.jpg,[],,,,,,,,,
tt2226519.jpg,[],,,,,,,,,
tt2055765.jpg,[],,,,,,,,,
tt0817545.jpg,"['aw', 'crime', 'hero']",unthinkable,crime,improbable,hero,,,,,
tt1356790.jpg,"['ausouns', 'ues', 'p', '‘', 'oe']",United_States,one,phosphorus,,,,,,
tt1606378.jpg,"['op', 'ea', 'ph', '|', '/', '\\', '»', 'witii']",ore,Mujahidin-e_Khalq_Organization,Ea,pH,,,,,
tt1684233.jpg,[],,,,,,,,,
tt2821088.jpg,[],,,,,,,,,
tt3091552.jpg,"['film', 'frederick', 'wiseman']",movie,Frederick,,,,,,,
tt1462901.jpg,"['paul', 'gimmatti', '“', 'see', 'paul', 'rudd', '~alls', 'sepemrer', 'elec', 'eters']",Paul,see,rudd,bitter,,,,,
tt1817081.jpg,[],,,,,,,,,
tt1922748.jpg,['theaters'],theater,,,,,,,,
tt2186663.jpg,"['piolo', 'tet']",Tet,,,,,,,,
tt0762138.jpg,[],,,,,,,,,
tt2231138.jpg,"['~', 'bu', '»', 'stanley', 'tucci', 'morning', 'labute']",Ur,Stanley,morning,write,,,,,
tt2461226.jpg,"['april', 'woe']",April,suffering,,,,,,,
tt2217458.jpg,"['miranda', 'pires']",,,,,,,,,
tt1462900.jpg,"['film', 'kar', 'gramdaster']",movie,,,,,,,,
tt2201548.jpg,['teacher'],teacher,,,,,,,,
tt2821880.jpg,[],,,,,,,,,
tt2466830.jpg,['wari'],,,,,,,,,
tt1482980.jpg,[],,,,,,,,,
tt1335975.jpg,[],,,,,,,,,
tt2332579.jpg,[],,,,,,,,,
tt2752724.jpg,[],,,,,,,,,
tt0453562.jpg,"['wien', 'tegerd', 'ew', 'er', 'dui', 'ph', 'tail', 'bu', 'ry']",electronic_warfare,erbium,Federal,aluminum,notary,couple,Ea,,
