id,cluster,number
tt2321249,2,0
tt1477076,2,0
tt0089504,6,0
tt0089504,2,0
tt0086637,3,0
tt0086637,1,0
tt0131857,0,0
tt0131857,6,0
tt0120782,2,0
tt1719071,3,0
tt1719071,3,0
tt1719071,6,0
tt2859246,2,0
tt1786751,2,0
tt0485877,2,0
tt0803057,4,0
tt0089276,4,0
tt0795376,0,0
tt0795376,3,0
tt1720182,0,0
tt1720182,3,0
tt0186151,2,0
tt0092656,6,0
tt0444781,1,0
tt0444781,0,0
tt0099703,2,0
tt0093560,2,0
tt0102279,0,0
tt0795438,0,0
tt0795438,5,0
tt1979388,2,0
tt1762399,2,0
tt0940620,0,0
tt0940620,0,0
tt0266747,2,0
tt0085470,6,0
tt1007028,5,0
tt1007028,3,0
tt1007028,1,0
tt2966934,2,0
tt0264150,1,0
tt0264150,2,0
tt0107473,2,0
tt0098347,1,0
tt0098347,6,0
tt0101764,2,0
tt0108026,2,0
tt2674040,4,0
tt0120741,5,0
tt0120741,2,0
tt0222850,4,0
tt0222850,6,0
tt0222850,0,0
tt2309260,2,0
tt0086192,2,1
tt1508675,3,0
tt1508675,4,0
tt0424908,5,0
tt0251114,0,0
tt0251114,3,0
tt0251114,0,0
tt4422656,5,0
tt4422656,3,0
tt1339181,2,0
tt0120755,2,0
tt0100485,6,0
tt2186933,2,0
tt1433813,2,0
tt0458425,4,0
tt0762073,2,0
tt0407121,2,0
tt0098384,4,1
tt0120769,1,0
tt0120769,4,0
tt0418773,0,0
tt0478087,5,0
tt0119467,2,0
tt1411697,0,0
tt1411697,0,0
tt0107659,4,0
tt0335121,2,0
tt0104350,4,0
tt0104350,0,0
tt1258972,2,0
tt2094890,6,0
tt0201290,0,1
tt0886539,4,0
tt0886539,6,0
tt0110443,5,0
tt0110443,2,0
tt0110443,3,0
tt0255819,2,0
tt0091149,2,0
tt2042568,5,0
tt2042568,2,0
tt0094025,6,0
tt0094025,2,0
tt0811137,6,0
tt1649444,1,0
tt1649444,0,0
tt0275263,4,0
tt0275263,0,0
tt0435434,2,0
tt0116768,2,0
tt0097262,2,0
tt0107665,2,0
tt0091613,4,0
tt1646987,6,1
tt1646987,2,1
tt0339727,4,0
tt1758575,2,0
tt0093776,0,0
tt0093776,0,0
tt0986263,2,0
tt0986263,2,0
tt0097276,3,0
tt0097276,2,0
tt0211915,2,0
tt0093010,2,0
tt0405508,4,0
tt0180093,4,0
tt0180093,2,0
tt0180093,0,0
tt0416212,3,0
tt0382628,2,0
tt4414694,2,0
tt0288477,2,0
tt0113189,0,0
tt0113189,0,0
tt0486615,0,0
tt1153690,3,0
tt0385635,2,0
tt2872570,3,0
tt2872570,3,0
tt2872570,3,0
tt2872570,3,0
tt2872570,6,0
tt0456144,2,0
tt2015381,2,0
tt0097289,2,0
tt0114194,2,1
tt0312549,4,0
tt0120219,2,0
tt0960731,4,0
tt0960731,2,0
tt1564585,0,0
tt1564585,0,0
tt3549508,2,0
tt0314676,2,0
tt2215477,2,1
tt2215477,5,1
tt0872335,6,0
tt0872335,6,0
tt0290210,2,0
tt2313774,4,0
tt2313774,0,0
tt0216707,6,0
tt0216707,1,0
tt1285252,5,0
tt1285252,2,0
tt0094964,0,0
tt0214931,2,0
tt0089114,2,0
tt0091983,5,0
tt0091983,6,0
tt0102655,0,0
tt0113758,2,0
tt1538403,2,0
tt1699513,4,0
tt0227445,2,0
tt3813310,0,1
tt3813310,0,1
tt0090323,2,0
tt0086541,2,1
tt0985636,2,0
tt0097458,2,0
tt0470752,2,1
tt0265662,2,0
tt0094637,5,0
tt0094637,1,0
tt0112452,2,0
tt0107711,2,0
tt0369702,4,0
tt0790636,0,0
tt0790636,0,0
tt0486946,2,1
tt0101412,2,0
tt0242587,0,0
tt0105112,2,0
tt0332712,4,0
tt0481797,2,0
tt0085935,0,0
tt0313737,4,0
tt0313737,3,0
tt0086582,5,0
tt0833553,4,0
tt0833553,3,0
tt0107088,2,0
tt0089869,0,0
tt0089869,0,0
tt3504226,0,0
tt0811080,2,0
tt0472186,2,1
tt0462395,0,0
tt0462395,1,0
tt0462395,1,0
tt0462395,0,0
tt0116191,1,0
tt0116191,4,0
tt0087688,6,0
tt0091954,2,0
tt1773109,2,0
tt2304426,5,0
tt0113957,2,0
tt1922777,0,0
tt1922777,2,0
tt1183923,1,0
tt1183923,5,0
tt1183923,1,0
tt2546300,2,0
tt0089841,4,0
tt0818098,0,0
tt0818098,2,0
tt1542344,2,0
tt0273799,6,0
tt0089470,2,0
tt0822847,3,0
tt0822847,2,0
tt1954352,3,0
tt1954352,2,0
tt4504040,2,0
tt0093428,6,0
tt0271367,2,0
tt1334260,0,0
tt0419294,0,0
tt0419294,2,0
tt0120190,6,0
tt0120190,6,0
tt0120190,3,0
tt0096236,2,0
tt0096236,3,0
tt0111359,0,0
tt0120184,2,0
tt0100254,6,0
tt0102443,2,0
tt0219965,2,1
tt0113228,4,0
tt2673854,2,0
tt0085276,4,0
tt2424988,2,0
tt0416825,3,0
tt1951216,2,0
tt0091203,6,0
tt0091203,2,0
tt0379713,3,0
tt0120812,2,0
tt2298394,2,0
tt0116378,2,0
tt1200853,0,1
tt0097100,0,0
tt0880570,0,0
tt0880570,0,0
tt0087313,6,0
tt0107507,2,0
tt0091217,6,0
tt0366627,2,0
tt1655441,0,0
tt1655441,1,0
tt1655441,0,0
tt0103007,6,0
tt0103007,1,0
tt0103007,2,0
tt0181945,5,0
tt0099878,2,0
tt0244479,0,0
tt0255212,2,0
tt0102494,2,0
tt2051879,2,0
tt0162360,5,0
tt0305357,2,0
tt0456554,6,0
tt0456554,6,0
tt0456554,4,0
tt0090848,5,0
tt0090848,3,0
tt0437800,2,0
tt1411250,2,0
tt0126250,2,0
tt0170016,2,0
tt0169547,2,0
tt0104797,2,1
tt1758830,0,0
tt1185836,0,0
tt0131704,2,0
tt0110912,2,0
tt0108185,2,0
tt0344337,6,0
tt0396271,2,0
tt0316465,0,0
tt0316465,1,0
tt1024746,0,0
tt1024746,3,0
tt1024746,4,0
tt2554274,2,0
tt1615918,5,0
tt1615918,1,0
tt0390614,2,0
tt2707858,2,0
tt0099850,2,0
tt0426931,2,0
tt1124035,4,0
tt0414982,2,0
tt0231971,2,0
tt0451206,2,0
tt1591479,2,1
tt0441773,2,0
tt1149583,3,0
tt1149583,1,0
tt1291150,2,0
tt0190861,2,1
tt2388637,4,0
tt0407732,2,1
tt1341167,0,0
tt1341167,1,0
tt0823219,6,0
tt4425064,2,0
tt0119937,5,0
tt0119937,2,0
tt3077214,4,1
tt3077214,1,1
tt1522857,6,0
tt0092086,6,0
tt0092086,1,0
tt0364970,2,0
tt0120620,2,0
tt0088960,6,0
tt0341266,2,0
tt1431181,2,0
tt0182295,2,0
tt0875705,0,0
tt0875705,5,0
tt0875705,6,0
tt1033575,3,0
tt1033575,2,0
tt0486576,2,0
tt0115857,2,0
tt2125653,2,0
tt1284575,0,0
tt1284575,0,0
tt0251075,2,0
tt0095925,5,0
tt0090685,5,0
tt0090685,6,0
tt0090685,2,0
tt0120152,2,0
tt0446752,1,0
tt0446752,2,0
tt0110091,3,0
tt0110091,2,0
tt0119738,4,0
tt0143344,2,0
tt0092079,1,0
tt0092079,2,0
tt2355495,2,0
tt0105477,2,0
tt0098554,0,0
tt0098554,3,0
tt0098554,4,0
tt0099892,2,0
tt0101605,2,0
tt0120813,3,0
tt0108147,5,0
tt0964185,2,0
tt0093415,6,0
tt0112679,2,0
tt0309593,2,0
tt0097115,1,0
tt0097115,5,0
tt0097115,2,0
tt0096223,6,0
tt0970866,4,0
tt0970866,1,0
tt0377071,2,0
tt1243957,1,0
tt1243957,1,0
tt1243957,3,0
tt1243957,3,0
tt1243957,4,0
tt2023587,2,0
tt0436262,1,0
tt2650054,2,0
tt0119062,2,0
tt0097883,2,1
tt1265990,2,0
tt0943512,5,0
tt1950135,3,0
tt1950135,6,0
tt0104027,5,0
tt0104027,2,0
tt0093818,2,0
tt0418362,4,0
tt0138537,3,0
tt0138537,5,0
tt0138537,2,0
tt0286261,0,0
tt0286261,0,0
tt0198781,6,0
tt0198781,6,0
tt1133993,0,0
tt1133993,3,0
tt0256524,2,0
tt0976026,3,1
tt0976026,1,1
tt0976026,2,1
tt0918927,5,0
tt0346723,2,0
tt2187972,4,0
tt0790804,1,0
tt0790804,6,0
tt1171222,3,0
tt1171222,3,0
tt1171222,5,0
tt0405469,0,0
tt0405469,0,0
tt0253474,0,0
tt0253474,2,0
tt1626135,6,0
tt1626135,6,0
tt1626135,2,0
tt0139615,2,0
tt0765443,2,0
tt3205376,3,0
tt3205376,3,0
tt3205376,6,0
tt3486542,2,0
tt0138279,5,0
tt0089883,2,0
tt0816711,4,0
tt1904996,2,1
tt3850214,2,0
tt0859760,0,0
tt0473500,1,0
tt0473500,3,0
tt0473500,1,0
tt1020938,6,0
tt1020938,0,0
tt1020938,1,0
tt1020938,2,0
tt0422029,0,0
tt0422029,0,0
tt0089129,6,0
tt0089129,5,0
tt0313911,3,1
tt0313911,2,1
tt0989757,4,0
tt0105107,2,1
tt4137324,2,0
tt0115472,2,0
tt0093617,0,0
tt0093617,1,0
tt0107076,2,0
tt0111614,4,0
tt0111614,5,0
tt1800266,4,0
tt1800266,0,0
tt0087892,2,0
tt0116635,0,0
tt0116635,0,0
tt1303803,0,0
tt1303803,3,0
tt1303803,1,0
tt0104231,0,0
tt0104231,0,0
tt0112453,2,0
tt0104225,6,0
tt0116621,0,0
tt0099460,2,0
tt0109067,4,0
tt0395584,2,0
tt0461892,2,0
tt0338216,2,0
tt0105885,2,0
tt0396112,2,0
tt0449059,3,0
tt0449059,3,0
tt0102913,2,0
tt0085868,2,0
tt0423294,3,0
tt0423294,0,0
tt5049302,2,0
tt0118787,6,0
tt1327194,2,0
tt1464590,2,0
tt1464590,2,0
tt1051904,0,0
tt1051904,0,0
tt0124718,2,0
tt0475944,4,0
tt0398103,5,0
tt1106860,4,1
tt1106860,2,1
tt0799954,4,0
tt0799954,5,0
tt0107843,4,0
tt1155592,0,0
tt0463854,2,0
tt0295427,2,0
tt1277953,2,0
tt0387989,2,0
tt2975578,2,0
tt0298856,2,0
tt0093777,2,0
tt0398842,0,0
tt0398842,0,0
tt0093011,4,0
tt0093011,6,0
tt0093011,0,0
tt0093011,0,0
tt2271641,4,0
tt0118750,0,1
tt0118750,0,1
tt0118750,1,1
tt0118744,2,0
tt0109891,6,0
tt0109891,6,0
tt0117477,2,1
tt0167190,2,0
tt1278447,2,0
tt0367882,2,0
tt0099528,2,1
tt1727388,0,0
tt1727388,5,0
tt1727388,0,0
tt0119314,0,0
tt0119314,2,0
tt0120595,5,0
tt0120595,5,0
tt1232200,4,0
tt1232200,2,0
tt0116999,2,0
tt0086346,2,1
tt2158531,0,0
tt2158531,4,0
tt2901548,2,0
tt0489282,4,0
tt1031969,5,0
tt0373175,2,0
tt0086352,5,1
tt0109675,2,0
tt0106220,0,0
tt0106220,2,0
tt0110442,0,0
tt0110442,0,0
tt0359950,2,0
tt1239427,3,0
tt1239427,5,0
tt1239427,0,0
tt0104437,2,0
tt1806777,5,0
tt0112255,2,0
tt0360486,2,0
tt0106977,2,0
tt0139239,2,0
tt0167423,0,0
tt0167423,0,0
tt1790867,2,0
tt0120768,5,0
tt0386117,4,0
tt0386117,3,0
tt0259207,0,0
tt0163651,6,0
tt0110867,2,0
tt0265298,3,0
tt0265298,6,0
tt0486358,5,0
tt0768239,4,0
tt2644800,5,0
tt2644800,0,0
tt2644800,1,0
tt2644800,1,0
tt0120032,6,0
tt2275802,3,0
tt2275802,5,0
tt2275802,1,0
tt2275802,5,0
tt2275802,3,0
tt2275802,1,0
tt2652092,0,0
tt2652092,1,0
tt2652092,4,0
tt0122143,2,0
tt0088814,0,0
tt0088814,5,0
tt0368794,6,0
tt0103827,2,0
tt0096380,6,0
tt0096380,4,0
tt0116594,6,1
tt0116594,2,1
tt1194127,5,0
tt0095662,3,0
tt0095662,5,0
tt1007029,2,0
tt0425430,2,0
tt0105265,2,0
tt3398876,5,0
tt0117107,2,0
tt0360323,2,0
tt0428672,0,0
tt0376541,5,0
tt0376541,6,0
tt0101765,2,0
tt0492488,3,0
tt0492488,1,0
tt0492488,5,0
tt0492488,2,0
tt0261983,2,0
tt1711376,2,0
tt0269461,0,0
tt0269461,2,0
tt1233334,2,0
tt0134084,2,0
tt0119670,2,0
tt0120797,4,0
tt0120797,0,0
tt0109305,6,0
tt0109305,3,0
tt0109305,0,0
tt0119116,2,0
tt0116225,2,0
tt0094226,5,0
tt0094226,4,0
tt0102250,1,0
tt0102250,2,0
tt0102250,5,0
tt3569356,2,0
tt0380599,1,0
tt0380599,1,0
tt0380599,5,0
tt0096425,0,0
tt0995752,0,0
tt0120783,3,0
tt0120783,3,0
tt4506722,0,0
tt4506722,3,0
tt4506722,3,0
tt0141369,2,0
tt0119664,2,0
tt0117891,2,1
tt0283084,5,0
tt0092655,2,0
tt0455857,2,0
tt0844479,4,0
tt0844479,0,0
tt0477348,0,0
tt0477348,0,0
tt0327056,4,0
tt0327056,0,0
tt4727756,3,0
tt4727756,0,0
tt4727756,1,0
tt0099700,0,0
tt0099700,0,0
tt1647668,0,0
tt1647668,6,0
tt1647668,0,0
tt0377107,5,0
tt0117887,2,0
tt0369339,2,0
tt0092133,2,1
tt1144884,2,0
tt0090056,5,0
tt0090056,6,0
tt1157620,0,0
tt1152758,2,0
tt0092641,2,0
tt3302962,6,0
tt0166924,2,0
tt0151150,2,0
tt2226519,2,0
tt0105267,4,0
tt0105267,5,0
tt0085473,6,0
tt0119896,2,0
tt0117677,2,0
tt0194218,2,0
tt0468526,3,0
tt0468526,3,0
tt0468526,0,0
tt1193138,2,0
tt1371111,2,0
tt0107302,2,0
tt0091374,2,0
tt1562450,2,0
tt1368440,2,0
tt0245837,2,0
tt0420238,4,0
tt0100486,6,0
tt0429591,5,0
tt0164114,2,0
tt1389127,2,0
tt2473794,0,0
tt4002772,2,0
tt2177711,4,1
tt4846028,2,1
tt0117688,1,0
tt0117688,3,0
tt0117688,2,0
tt0095853,4,1
tt0217630,4,0
tt0217630,2,0
tt1692928,1,0
tt1692928,5,0
tt1692928,2,0
tt0438488,2,1
tt0120742,1,0
tt0120742,1,0
tt0120742,1,0
tt0120742,6,0
tt3787590,2,0
tt0090095,2,0
tt0104804,3,0
tt0104804,5,0
tt0104804,2,0
tt0088194,2,0
tt1235790,1,0
tt1235790,0,0
tt1235790,6,0
tt1235790,1,0
tt1645080,2,0
tt3419894,2,0
tt0395169,5,0
tt0090917,6,0
tt0416991,0,0
tt0416991,0,0
tt1731701,5,0
tt1731701,1,0
tt1731701,0,0
tt0085895,1,0
tt0085895,1,0
tt0085895,0,0
tt2055765,1,1
tt2055765,1,1
tt2055765,3,1
tt2055765,6,1
tt2909116,0,0
tt2909116,0,0
tt0451833,2,0
tt1436559,1,0
tt1436559,1,0
tt0800039,6,1
tt0817545,4,0
tt0432402,4,0
tt1986161,1,0
tt1986161,3,0
tt1356790,0,0
tt1356790,1,0
tt0108569,0,0
tt0108569,5,0
tt0108569,0,0
tt0100135,2,0
tt1877832,2,0
tt0498399,1,0
tt0498399,1,0
tt0498399,6,0
tt0102722,2,0
tt0114168,0,0
tt0276033,2,0
tt0113161,2,0
tt0412922,4,0
tt0412922,0,0
tt0095304,4,0
tt0095304,2,0
tt3532608,2,0
tt0338348,4,0
tt0338348,2,0
tt0097507,2,0
tt0124901,4,0
tt0124901,2,0
tt0104409,1,0
tt0104409,4,0
tt1777595,2,0
tt1180346,0,0
tt0094768,2,0
tt2347497,3,0
tt2347497,2,0
tt0401792,2,0
tt0087072,5,0
tt0087072,6,0
