Id,nb_visages,position_visage,emotion1,emotion2
tt0084058,Neutral,Neutral,Neutral,Neutral
tt0084867,Neutral,Neutral,Neutral,Neutral
tt0085121,1,Haut,Surprise,Neutral
tt0085154,1,Bas,Sad,Neutral
tt0085159,Neutral,Neutral,Neutral,Neutral
tt0085208,2,Haut,Sad,Sad
tt0085236,Neutral,Neutral,Neutral,Neutral
tt0085244,Neutral,Neutral,Neutral,Neutral
tt0085248,Neutral,Neutral,Neutral,Neutral
tt0085255,Neutral,Neutral,Neutral,Neutral
tt0085271,1,Bas,Sad,Neutral
tt0085276,1,Haut,Fear,Neutral
tt0085318,Neutral,Neutral,Neutral,Neutral
tt0085320,Neutral,Neutral,Neutral,Neutral
tt0085333,Neutral,Neutral,Neutral,Neutral
tt0085334,Neutral,Neutral,Neutral,Neutral
tt0085346,1,Haut,Sad,Neutral
tt0085382,Neutral,Neutral,Neutral,Neutral
tt0085384,Neutral,Neutral,Neutral,Neutral
tt0085387,1,Haut,Surprise,Neutral
tt0085398,1,Bas,Sad,Neutral
tt0085407,1,Bas,Fear,Neutral
tt0085412,3,Bas,Happy,Happy
tt0085450,Neutral,Neutral,Neutral,Neutral
tt0085461,Neutral,Neutral,Neutral,Neutral
tt0085470,1,Haut,Angry,Neutral
tt0085473,1,Haut,Surprise,Neutral
tt0085475,1,Haut,Sad,Neutral
tt0085478,2,Haut,Surprise,Sad
tt0085542,Neutral,Neutral,Neutral,Neutral
tt0085549,1,Haut,Surprise,Neutral
tt0085551,Neutral,Neutral,Neutral,Neutral
tt0085588,1,Haut,Sad,Neutral
tt0085608,1,Haut,Happy,Neutral
tt0085615,Neutral,Neutral,Neutral,Neutral
tt0085656,1,Haut,Surprise,Neutral
tt0085678,1,Haut,Fear,Neutral
tt0085694,1,Haut,Sad,Neutral
tt0085701,Neutral,Neutral,Neutral,Neutral
tt0085750,Neutral,Neutral,Neutral,Neutral
tt0085764,Neutral,Neutral,Neutral,Neutral
tt0085780,Neutral,Neutral,Neutral,Neutral
tt0085811,1,Haut,Angry,Neutral
tt0085838,Neutral,Neutral,Neutral,Neutral
tt0085859,1,Haut,Sad,Neutral
tt0085862,Neutral,Neutral,Neutral,Neutral
tt0085863,Neutral,Neutral,Neutral,Neutral
tt0085867,1,Bas,Surprise,Neutral
tt0085868,Neutral,Neutral,Neutral,Neutral
tt0085873,1,Haut,Happy,Neutral
tt0085891,1,Bas,Angry,Neutral
tt0085895,Neutral,Neutral,Neutral,Neutral
tt0085919,4,Bas,Happy,Surprise
tt0085933,Neutral,Neutral,Neutral,Neutral
tt0085935,Neutral,Neutral,Neutral,Neutral
tt0085970,Neutral,Neutral,Neutral,Neutral
tt0085980,1,Bas,Sad,Neutral
tt0085995,Neutral,Neutral,Neutral,Neutral
tt0086005,Neutral,Neutral,Neutral,Neutral
tt0086006,1,Haut,Angry,Neutral
tt0086011,Neutral,Neutral,Neutral,Neutral
tt0086014,Neutral,Neutral,Neutral,Neutral
tt0086034,Neutral,Neutral,Neutral,Neutral
tt0086036,Neutral,Neutral,Neutral,Neutral
tt0086058,Neutral,Neutral,Neutral,Neutral
tt0086066,Neutral,Neutral,Neutral,Neutral
tt0086112,2,Bas,Happy,Happy
tt0086129,5,Haut,Neutral,Happy
tt0086143,1,Haut,Happy,Neutral
tt0086154,1,Haut,Sad,Neutral
tt0086192,Neutral,Neutral,Neutral,Neutral
tt0086197,Neutral,Neutral,Neutral,Neutral
tt0086200,Neutral,Neutral,Neutral,Neutral
tt0086205,1,Haut,Neutral,Neutral
tt0086216,2,Haut,Sad,Sad
tt0086220,1,Haut,Sad,Neutral
tt0086264,Neutral,Neutral,Neutral,Neutral
tt0086312,3,Haut,Sad,Sad
tt0086325,1,Haut,Surprise,Neutral
tt0086336,Neutral,Neutral,Neutral,Neutral
tt0086346,2,Haut,Surprise,Surprise
tt0086352,Neutral,Neutral,Neutral,Neutral
tt0086355,Neutral,Neutral,Neutral,Neutral
tt0086356,1,Haut,Surprise,Neutral
tt0086361,Neutral,Neutral,Neutral,Neutral
tt0086370,2,Bas,Happy,Sad
tt0086373,1,Bas,Sad,Neutral
tt0086374,Neutral,Neutral,Neutral,Neutral
tt0086377,Neutral,Neutral,Neutral,Neutral
tt0086379,2,Haut,Happy,Neutral
tt0086381,Neutral,Neutral,Neutral,Neutral
tt0086383,Neutral,Neutral,Neutral,Neutral
tt0086393,Neutral,Neutral,Neutral,Neutral
tt0086397,1,Haut,Happy,Neutral
tt0086405,2,Haut,Surprise,Happy
tt0086423,2,Haut,Surprise,Surprise
tt0086425,2,Haut,Surprise,Happy
tt0086429,Neutral,Neutral,Neutral,Neutral
tt0086461,Neutral,Neutral,Neutral,Neutral
tt0086465,2,Haut,Happy,Happy
tt0086476,Neutral,Neutral,Neutral,Neutral
tt0086491,Neutral,Neutral,Neutral,Neutral
tt0086494,2,Bas,Sad,Surprise
tt0086508,Neutral,Neutral,Neutral,Neutral
tt0086510,1,Bas,Sad,Neutral
tt0086525,1,Haut,Sad,Neutral
tt0086541,Neutral,Neutral,Neutral,Neutral
tt0086567,Neutral,Neutral,Neutral,Neutral
