Id,nb_visages,position_visage,emotion1,emotion2
tt0084058,0,0,0,0
tt0084867,0,0,0,0
tt0085121,1,1,3,0
tt0085154,1,2,1,0
tt0085159,0,0,0,0
tt0085208,2,1,1,1
tt0085236,0,0,0,0
tt0085244,0,0,0,0
tt0085248,0,0,0,0
tt0085255,0,0,0,0
tt0085271,1,2,1,0
tt0085276,1,1,5,0
tt0085318,0,0,0,0
tt0085320,0,0,0,0
tt0085333,0,0,0,0
tt0085334,0,0,0,0
tt0085346,1,1,1,0
tt0085382,0,0,0,0
tt0085384,0,0,0,0
tt0085387,1,1,3,0
tt0085398,1,2,1,0
tt0085407,1,2,5,0
tt0085412,3,2,2,2
tt0085450,0,0,0,0
tt0085461,0,0,0,0
tt0085470,1,1,4,0
tt0085473,1,1,3,0
tt0085475,1,1,1,0
tt0085478,2,1,3,1
tt0085542,0,0,0,0
tt0085549,1,1,3,0
tt0085551,0,0,0,0
tt0085588,1,1,1,0
tt0085608,1,1,2,0
tt0085615,0,0,0,0
tt0085656,1,1,3,0
tt0085678,1,1,5,0
tt0085694,1,1,1,0
tt0085701,0,0,0,0
tt0085750,0,0,0,0
tt0085764,0,0,0,0
tt0085780,0,0,0,0
tt0085811,1,1,4,0
tt0085838,0,0,0,0
tt0085859,1,1,1,0
tt0085862,0,0,0,0
tt0085863,0,0,0,0
tt0085867,1,2,3,0
tt0085868,0,0,0,0
tt0085873,1,1,2,0
tt0085891,1,2,4,0
tt0085895,0,0,0,0
tt0085919,4,2,2,3
tt0085933,0,0,0,0
tt0085935,0,0,0,0
tt0085970,0,0,0,0
tt0085980,1,2,1,0
tt0085995,0,0,0,0
tt0086005,0,0,0,0
tt0086006,1,1,4,0
tt0086011,0,0,0,0
tt0086014,0,0,0,0
tt0086034,0,0,0,0
tt0086036,0,0,0,0
tt0086058,0,0,0,0
tt0086066,0,0,0,0
tt0086112,2,2,2,2
tt0086129,5,1,0,2
tt0086143,1,1,2,0
tt0086154,1,1,1,0
tt0086192,0,0,0,0
tt0086197,0,0,0,0
tt0086200,0,0,0,0
tt0086205,1,1,0,0
tt0086216,2,1,1,1
tt0086220,1,1,1,0
tt0086264,0,0,0,0
tt0086312,3,1,1,1
tt0086325,1,1,3,0
tt0086336,0,0,0,0
tt0086346,2,1,3,3
tt0086352,0,0,0,0
tt0086355,0,0,0,0
tt0086356,1,1,3,0
tt0086361,0,0,0,0
tt0086370,2,2,2,1
tt0086373,1,2,1,0
tt0086374,0,0,0,0
tt0086377,0,0,0,0
tt0086379,2,1,2,0
tt0086381,0,0,0,0
tt0086383,0,0,0,0
tt0086393,0,0,0,0
tt0086397,1,1,2,0
tt0086405,2,1,3,2
tt0086423,2,1,3,3
tt0086425,2,1,3,2
tt0086429,0,0,0,0
tt0086461,0,0,0,0
tt0086465,2,1,2,2
tt0086476,0,0,0,0
tt0086491,0,0,0,0
tt0086494,2,2,1,3
tt0086508,0,0,0,0
tt0086510,1,2,1,0
tt0086525,1,1,1,0
tt0086541,0,0,0,0
tt0086567,0,0,0,0
tt0086582,0,0,0,0
tt0086593,2,2,1,1
tt0086618,1,2,5,0
tt0086619,1,1,1,0
tt0086637,0,0,0,0
tt0086837,0,0,0,0
tt0086856,1,1,1,0
tt0086859,1,2,1,0
tt0086873,2,1,1,2
tt0086876,0,0,0,0
tt0086877,0,0,0,0
tt0086879,0,0,0,0
tt0086886,2,2,1,2
tt0086896,1,1,2,0
tt0086927,3,1,1,2
tt0086946,0,0,0,0
tt0086955,2,1,2,2
tt0086960,1,1,1,0
tt0086969,1,2,1,0
tt0086984,0,0,0,0
tt0086985,1,1,2,0
tt0086987,1,1,1,0
tt0086992,1,2,1,0
tt0086993,2,2,3,3
tt0086998,0,0,0,0
tt0086999,0,0,0,0
tt0087003,0,0,0,0
tt0087004,1,1,1,0
tt0087015,0,0,0,0
tt0087032,1,1,2,0
tt0087050,0,0,0,0
tt0087054,1,1,3,0
tt0087062,0,0,0,0
tt0087072,1,1,3,0
tt0087078,0,0,0,0
tt0087089,1,1,1,0
tt0087091,1,1,1,0
tt0087096,0,0,0,0
tt0087127,0,0,0,0
tt0087130,0,0,0,0
tt0087175,1,2,3,0
tt0087182,3,2,1,1
tt0087197,0,0,0,0
tt0087222,1,1,1,0
tt0087231,0,0,0,0
tt0087233,1,2,2,0
tt0087260,0,0,0,0
tt0087262,1,2,1,0
tt0087263,2,1,3,4
tt0087265,3,2,1,2
tt0087277,0,0,0,0
tt0087313,0,0,0,0
tt0087332,0,0,0,0
tt0087359,1,1,1,0
tt0087363,0,0,0,0
tt0087365,1,1,3,0
tt0087384,1,2,3,0
tt0087385,0,0,0,0
tt0087425,0,0,0,0
tt0087428,1,2,0,0
tt0087451,2,1,1,1
tt0087452,1,2,3,0
tt0087464,0,0,0,0
tt0087469,0,0,0,0
tt0087482,3,2,1,5
tt0087507,2,1,3,3
tt0087513,0,0,0,0
tt0087525,0,0,0,0
tt0087538,0,0,0,0
tt0087553,0,0,0,0
tt0087589,0,0,0,0
tt0087597,0,0,0,0
tt0087629,0,0,0,0
tt0087635,0,0,0,0
tt0087666,0,0,0,0
tt0087688,0,0,0,0
tt0087722,1,1,5,0
tt0087727,0,0,0,0
tt0087730,1,1,5,0
tt0087746,0,0,0,0
tt0087747,1,1,2,0
tt0087751,2,2,1,1
tt0087755,0,0,0,0
tt0087781,0,0,0,0
tt0087799,0,0,0,0
tt0087800,1,1,1,0
tt0087810,2,2,2,1
tt0087835,0,0,0,0
tt0087843,0,0,0,0
tt0087866,0,0,0,0
tt0087884,0,0,0,0
