Id,nb_visages,emotions
tt0084058,0,
tt0084867,0,
tt0085121,1,Surprise
tt0085154,1,Sad
tt0085159,0,
tt0085208,2,Sad
tt0085236,0,
tt0085244,0,
tt0085248,0,
tt0085255,0,
tt0085271,1,Sad
tt0085276,1,Fear
tt0085318,0,
tt0085320,0,
tt0085333,0,
tt0085334,0,
tt0085346,1,Sad
tt0085382,0,
tt0085384,0,
tt0085387,1,Surprise
tt0085398,1,Sad
tt0085407,1,Fear
tt0085412,3,Happy
tt0085450,0,
tt0085461,0,
tt0085470,1,Angry
tt0085473,1,Surprise
tt0085475,1,Sad
tt0085478,2,Surprise
tt0085542,0,
tt0085549,1,Surprise
tt0085551,0,
tt0085588,1,Sad
tt0085608,1,Happy
tt0085615,0,
tt0085656,1,Surprise
tt0085678,1,Fear
tt0085694,1,Sad
tt0085701,0,
tt0085750,0,
tt0085764,0,
tt0085780,0,
tt0085811,1,Angry
tt0085838,0,
tt0085859,1,Sad
tt0085862,0,
tt0085863,0,
tt0085867,1,Surprise
tt0085868,0,
tt0085873,1,Happy
tt0085891,1,Angry
tt0085895,0,
tt0085919,4,Happy
tt0085933,0,
tt0085935,0,
tt0085970,0,
tt0085980,1,Sad
tt0085995,0,
tt0086005,0,
tt0086006,1,Angry
tt0086011,0,
tt0086014,0,
tt0086034,0,
tt0086036,0,
tt0086058,0,
tt0086066,0,
tt0086112,2,Happy
tt0086129,5,Happy
tt0086143,1,Happy
tt0086154,1,Sad
tt0086192,0,
tt0086197,0,
tt0086200,0,
tt0086205,1,Neutral
tt0086216,2,Sad
tt0086220,1,Sad
tt0086264,0,
tt0086312,3,Sad
tt0086325,1,Surprise
tt0086336,0,
tt0086346,2,Surprise
tt0086352,0,
tt0086355,0,
tt0086356,1,Surprise
tt0086361,0,
tt0086370,2,Happy
tt0086373,1,Sad
tt0086374,0,
tt0086377,0,
tt0086379,2,Happy
tt0086381,0,
tt0086383,0,
tt0086393,0,
tt0086397,1,Happy
tt0086405,2,Surprise
tt0086423,2,Surprise
tt0086425,2,Surprise
tt0086429,0,
tt0086461,0,
tt0086465,2,Happy
tt0086476,0,
tt0086491,0,
tt0086494,2,Sad
tt0086508,0,
tt0086510,1,Sad
tt0086525,1,Sad
tt0086541,0,
tt0086567,0,
tt0086582,0,
tt0086593,2,Sad
tt0086618,1,Fear
tt0086619,1,Sad
tt0086637,0,
tt0086837,0,
tt0086856,1,Sad
tt0086859,1,Sad
tt0086873,2,Sad
tt0086876,0,
tt0086877,0,
tt0086879,0,
tt0086886,2,Sad
tt0086896,1,Happy
tt0086927,3,Happy
tt0086946,0,
tt0086955,2,Happy
tt0086960,1,Sad
tt0086969,1,Sad
tt0086984,0,
tt0086985,1,Happy
tt0086987,1,Sad
tt0086992,1,Sad
tt0086993,2,Surprise
tt0086998,0,
tt0086999,0,
tt0087003,0,
tt0087004,1,Sad
tt0087015,0,
tt0087032,1,Happy
tt0087050,0,
tt0087054,1,Surprise
tt0087062,0,
tt0087072,1,Surprise
tt0087078,0,
tt0087089,1,Sad
tt0087091,1,Sad
tt0087096,0,
tt0087127,0,
tt0087130,0,
tt0087175,1,Surprise
tt0087182,3,Sad
tt0087197,0,
tt0087222,1,Sad
tt0087231,0,
tt0087233,1,Happy
tt0087260,0,
tt0087262,1,Sad
tt0087263,2,Surprise
tt0087265,3,Happy
tt0087277,0,
tt0087313,0,
tt0087332,0,
tt0087359,1,Sad
tt0087363,0,
tt0087365,1,Surprise
tt0087384,1,Surprise
tt0087385,0,
tt0087425,0,
tt0087428,1,Neutral
tt0087451,2,Sad
tt0087452,1,Surprise
tt0087464,0,
tt0087469,0,
tt0087482,3,Sad
tt0087507,2,Surprise
tt0087513,0,
tt0087525,0,
tt0087538,0,
tt0087553,0,
tt0087589,0,
tt0087597,0,
tt0087629,0,
